=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     letter
Instances:    16000
Attributes:   17
              x-box
              y-box
              width
              high
              onpix
              x-bar
              y-bar
              x2bar
              y2bar
              xybar
              x2ybr
              xy2br
              x-ege
              xegvy
              y-ege
              yegvx
              class
Test mode:    10-fold cross-validation

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 9.4 seconds

=== Predictions on test data ===

    inst#     actual  predicted error prediction
      119       16:P       16:P       0.94 
      120       16:P       16:P       0.85 
      121       16:P       16:P       1 
      122       16:P       16:P       1 
      123       16:P       16:P       0.92 
      124       16:P       16:P       0.99 
      125       15:O       15:O       0.43 
      126       15:O       15:O       0.81 
      127       15:O       15:O       0.85 
      128       15:O       15:O       0.98 
      129       15:O       15:O       0.97 
      130       15:O       15:O       0.99 
      131       15:O       15:O       0.99 
      132       15:O       15:O       0.97 
      133       15:O       15:O       0.83 
      134       15:O       15:O       0.81 
      135       15:O       15:O       1 
      136       15:O       15:O       0.56 
      137       15:O       15:O       0.94 
      138       15:O       15:O       0.62 
      139       15:O       15:O       0.99 
      140       15:O       15:O       0.8 
      141       15:O       15:O       0.93 
      142       15:O       15:O       0.92 
      143       15:O       15:O       1 
      144       15:O       15:O       0.76 
      145       15:O       15:O       0.66 
      146       15:O       15:O       0.73 
      147       15:O       15:O       0.93 
      148       15:O       15:O       0.9 
      149       15:O       15:O       1 
      150       15:O       15:O       0.63 
      151       15:O       15:O       0.95 
      152       15:O       15:O       0.98 
      153       15:O       15:O       0.93 
      154       15:O       15:O       0.99 
      155       15:O       15:O       0.63 
      156       15:O       15:O       0.76 
      157       15:O        4:D   +   0.57 
      158       15:O       15:O       0.91 
      159       15:O       15:O       1 
      160       15:O       15:O       0.39 
      161       15:O       15:O       0.66 
      162       15:O       15:O       0.99 
      163       15:O       15:O       0.54 
      164       15:O       15:O       0.98 
      165       15:O       15:O       0.49 
      166       15:O       15:O       0.91 
      167       15:O       15:O       0.96 
      168       15:O       17:Q   +   0.31 
      169       15:O       15:O       0.42 
      170       15:O       15:O       0.33 
      171       15:O       15:O       0.4 
      172       15:O       15:O       0.98 
      173       15:O       15:O       0.47 
      174       15:O       15:O       0.44 
      175       15:O       15:O       0.81 
      176       15:O       15:O       0.35 
      177       15:O       15:O       0.88 
      178       15:O       15:O       0.98 
      179       15:O       15:O       0.7 
      180       15:O       15:O       0.55 
      181       15:O       15:O       0.77 
      182       15:O       15:O       0.92 
      183       15:O       15:O       0.51 
      184       15:O       15:O       0.93 
      185       15:O       15:O       0.46 
      186        6:F        6:F       0.74 
      187        6:F        6:F       1 
      188        6:F        6:F       0.51 
      189        6:F        6:F       0.99 
      190        6:F        6:F       1 
      191        6:F        6:F       1 
      192        6:F        6:F       0.76 
      193        6:F        6:F       0.71 
      194        6:F        6:F       0.97 
      195        6:F        6:F       0.75 
      196        6:F        6:F       1 
      197        6:F        6:F       0.97 
      198        6:F        6:F       0.57 
      199        6:F        6:F       1 
      200        6:F        6:F       1 
      201        6:F        6:F       0.66 
      202        6:F        6:F       0.49 
      203        6:F        2:B   +   0.18 
      204        6:F        6:F       0.8 
      205        6:F        6:F       0.99 
      206        6:F        6:F       0.67 
      207        6:F        6:F       0.99 
      208        6:F        6:F       0.97 
      209        6:F        6:F       0.88 
      210        6:F        2:B   +   0.44 
      211        6:F       19:S   +   0.43 
      212        6:F        6:F       0.85 
      213        6:F        6:F       1 
      214        6:F        6:F       1 
      215        6:F        6:F       0.95 
      216        6:F        6:F       0.84 
      217        6:F        6:F       0.66 
      218        6:F        6:F       0.76 
      219        6:F        6:F       0.98 
      220        6:F        6:F       0.46 
      221        6:F        6:F       0.99 
      222        6:F        6:F       0.71 
      223        6:F        6:F       0.99 
      224        6:F        6:F       1 
      225        6:F        6:F       1 
      226        6:F        6:F       0.39 
      227        6:F        6:F       0.99 
      228        6:F        6:F       0.64 
      229        6:F        6:F       0.55 
      230        6:F        6:F       1 
      231        6:F       11:K   +   0.19 
      232        6:F        6:F       1 
      233        6:F        6:F       0.56 
      234        6:F        6:F       0.96 
      235        6:F        6:F       0.45 
      236        6:F        6:F       0.71 
      237        6:F        6:F       0.85 
      238        6:F        6:F       0.52 
      239        6:F        6:F       0.79 
      240        6:F        6:F       0.89 
      241        6:F        6:F       1 
      242        6:F        6:F       0.88 
      243        6:F        6:F       0.81 
      244        6:F        6:F       0.73 
      245        6:F        6:F       0.97 
      246        6:F        6:F       0.68 
      247        6:F        6:F       0.98 
      248       12:L       12:L       0.99 
      249       12:L       12:L       1 
      250       12:L       12:L       0.97 
      251       12:L       12:L       1 
      252       12:L       12:L       1 
      253       12:L       12:L       1 
      254       12:L       12:L       0.43 
      255       12:L       12:L       1 
      256       12:L       12:L       0.71 
      257       12:L       12:L       0.37 
      258       12:L       12:L       1 
      259       12:L        5:E   +   0.48 
      260       12:L       12:L       0.99 
      261       12:L       12:L       1 
      262       12:L       12:L       1 
      263       12:L       12:L       1 
      264       12:L       12:L       0.48 
      265       12:L       12:L       0.99 
      266       12:L       12:L       1 
      267       12:L       12:L       0.98 
      268       12:L       12:L       1 
      269       12:L       12:L       1 
      270       12:L       12:L       0.45 
      271       12:L       12:L       1 
      272       12:L       12:L       1 
      273       12:L       12:L       1 
      274       12:L       12:L       1 
      275       12:L       12:L       1 
      276       12:L       12:L       1 
      277       12:L       12:L       0.99 
      278       12:L       12:L       0.66 
      279       12:L        5:E   +   0.48 
      280       12:L       12:L       1 
      281       12:L       12:L       0.99 
      282       12:L       12:L       0.75 
      283       12:L       12:L       0.78 
      284       12:L       12:L       1 
      285       12:L       12:L       0.57 
      286       12:L       12:L       1 
      287       12:L       12:L       0.94 
      288       12:L       12:L       0.68 
      289       12:L       12:L       1 
      290       12:L       17:Q   +   0.23 
      291       12:L       12:L       0.98 
      292       12:L       12:L       1 
      293       12:L       12:L       0.8 
      294       12:L        5:E   +   0.22 
      295       12:L       12:L       0.78 
      296       12:L       12:L       0.74 
      297       12:L       11:K   +   0.19 
      298       12:L       12:L       0.86 
      299       12:L       12:L       1 
      300       12:L       12:L       0.27 
      301       12:L       12:L       0.99 
      302       12:L       12:L       1 
      303       12:L       12:L       1 
      304       12:L       12:L       1 
      305       12:L       12:L       1 
      306       12:L       12:L       0.99 
      307       12:L       12:L       0.99 
      308       23:W       23:W       0.98 
      309       23:W       23:W       1 
      310       23:W       23:W       1 
      311       23:W       23:W       0.95 
      312       23:W       23:W       1 
      313       23:W       23:W       1 
      314       23:W       23:W       0.41 
      315       23:W       23:W       1 
      316       23:W       23:W       0.92 
      317       23:W       23:W       0.9 
      318       23:W       23:W       1 
      319       23:W       23:W       0.97 
      320       23:W       23:W       0.99 
      321       23:W       23:W       1 
      322       23:W       23:W       0.47 
      323       23:W       23:W       0.51 
      324       23:W       23:W       0.99 
      325       23:W       23:W       1 
      326       23:W       23:W       0.9 
      327       23:W       23:W       0.92 
      328       23:W       23:W       1 
      329       23:W       23:W       0.92 
      330       23:W       23:W       0.98 
      331       23:W       23:W       1 
      332       23:W       23:W       0.9 
      333       23:W       23:W       0.98 
      334       23:W       23:W       1 
      335       23:W       23:W       0.99 
      336       23:W       23:W       0.26 
      337       23:W       23:W       1 
      338       23:W       23:W       1 
      339       23:W       23:W       0.92 
      340       23:W       23:W       0.91 
      341       23:W       23:W       0.65 
      342       23:W       23:W       1 
      343       23:W       23:W       0.97 
      344       23:W       23:W       0.94 
      345       23:W       23:W       0.71 
      346       23:W       13:M   +   0.2 
      347       23:W       23:W       1 
      348       23:W       23:W       1 
      349       23:W       23:W       1 
      350       23:W       23:W       1 
      351       23:W       23:W       0.96 
      352       23:W       23:W       0.99 
      353       23:W       23:W       0.99 
      354       23:W       23:W       1 
      355       23:W       23:W       0.98 
      356       23:W       23:W       0.99 
      357       23:W       23:W       0.56 
      358       23:W       23:W       1 
      359       23:W       23:W       1 
      360       23:W       23:W       0.99 
      361       23:W       23:W       1 
      362       23:W       23:W       0.99 
      363       23:W       23:W       1 
      364       23:W       23:W       0.41 
      365       23:W       23:W       1 
      366       23:W       23:W       0.9 
      367       23:W       23:W       1 
      368       23:W       23:W       0.99 
      369       23:W       23:W       1 
      370        3:C        3:C       0.48 
      371        3:C        3:C       0.98 
      372        3:C        3:C       0.95 
      373        3:C        3:C       0.88 
      374        3:C        7:G   +   0.48 
      375        3:C        3:C       0.86 
      376        3:C        3:C       0.87 
      377        3:C        5:E   +   0.38 
      378        3:C        3:C       0.79 
      379        3:C        3:C       0.99 
      380        3:C        3:C       1 
      381        3:C        3:C       0.98 
      382        3:C        3:C       0.95 
      383        3:C        3:C       0.99 
      384        3:C        3:C       0.92 
      385        3:C        3:C       0.62 
      386        3:C        3:C       0.97 
      387        3:C        3:C       1 
      388        3:C        3:C       1 
      389        3:C        3:C       0.84 
      390        3:C        3:C       0.71 
      391        3:C        3:C       0.69 
      392        3:C        3:C       1 
      393        3:C        3:C       0.95 
      394        3:C        3:C       1 
      395        3:C        3:C       0.93 
      396        3:C        3:C       0.99 
      397        3:C        3:C       1 
      398        3:C        3:C       1 
      399        3:C        3:C       1 
      400        3:C        3:C       0.73 
      401        3:C        3:C       0.46 
      402        3:C        3:C       0.86 
      403        3:C        3:C       0.55 
      404        3:C        3:C       0.8 
      405        3:C        3:C       0.98 
      406        3:C        3:C       0.99 
      407        3:C        3:C       0.97 
      408        3:C        3:C       1 
      409        3:C        3:C       0.52 
      410        3:C        3:C       0.83 
      411        3:C        3:C       0.79 
      412        3:C        3:C       0.95 
      413        3:C        3:C       0.52 
      414        3:C        3:C       0.8 
      415        3:C        3:C       1 
      416        3:C        3:C       0.99 
      417        3:C        3:C       0.94 
      418        3:C        3:C       0.99 
      419        3:C        3:C       0.98 
      420        3:C        3:C       0.94 
      421        3:C        3:C       0.99 
      422        3:C        3:C       0.92 
      423        3:C        3:C       0.98 
      424        3:C        3:C       0.99 
      425        3:C        3:C       1 
      426        3:C        3:C       0.97 
      427        3:C        3:C       0.67 
      428       24:X       24:X       1 
      429       24:X       24:X       0.5 
      430       24:X       24:X       0.94 
      431       24:X       24:X       0.62 
      432       24:X       24:X       1 
      433       24:X       24:X       0.99 
      434       24:X       24:X       0.82 
      435       24:X       24:X       0.96 
      436       24:X       24:X       0.85 
      437       24:X       24:X       0.99 
      438       24:X       24:X       0.78 
      439       24:X       24:X       0.75 
      440       24:X       24:X       0.99 
      441       24:X       24:X       0.93 
      442       24:X       24:X       1 
      443       24:X       24:X       0.89 
      444       24:X       24:X       0.89 
      445       24:X       24:X       0.49 
      446       24:X       24:X       0.67 
      447       24:X       24:X       0.9 
      448       24:X       24:X       1 
      449       24:X       24:X       0.93 
      450       24:X       24:X       0.79 
      451       24:X       24:X       0.99 
      452       24:X       24:X       0.59 
      453       24:X       24:X       0.99 
      454       24:X       24:X       0.78 
      455       24:X       24:X       1 
      456       24:X       24:X       0.86 
      457       24:X       24:X       1 
      458       24:X       24:X       1 
      459       24:X       24:X       0.94 
      460       24:X       24:X       0.72 
      461       24:X       24:X       0.95 
      462       24:X       24:X       1 
      463       24:X       24:X       0.92 
      464       24:X       24:X       1 
      465       24:X       24:X       0.88 
      466       24:X       24:X       0.48 
      467       24:X       24:X       0.87 
      468       24:X       24:X       1 
      469       24:X       24:X       0.38 
      470       24:X       24:X       1 
      471       24:X       24:X       0.65 
      472       24:X       24:X       0.78 
      473       24:X       24:X       0.66 
      474       24:X       24:X       0.93 
      475       24:X       24:X       0.96 
      476       24:X       24:X       0.59 
      477       24:X       24:X       0.94 
      478       24:X       24:X       0.82 
      479       24:X       24:X       0.76 
      480       24:X       24:X       1 
      481       24:X       24:X       0.33 
      482       24:X       24:X       1 
      483       24:X       24:X       1 
      484       24:X       24:X       0.94 
      485       24:X       24:X       0.8 
      486       24:X       24:X       1 
      487       24:X       24:X       1 
      488       24:X       24:X       0.84 
      489       24:X       24:X       0.98 
      490       19:S       19:S       0.77 
      491       19:S       19:S       0.38 
      492       19:S       19:S       0.79 
      493       19:S       19:S       0.86 
      494       19:S       19:S       1 
      495       19:S       19:S       0.39 
      496       19:S       19:S       0.82 
      497       19:S       19:S       0.95 
      498       19:S       17:Q   +   0.22 
      499       19:S       19:S       0.68 
      500       19:S       19:S       0.41 
      501       19:S       19:S       0.44 
      502       19:S       19:S       1 
      503       19:S       19:S       0.77 
      504       19:S       19:S       0.75 
      505       19:S       19:S       0.89 
      506       19:S       19:S       0.92 
      507       19:S       19:S       1 
      508       19:S       19:S       0.86 
      509       19:S       19:S       0.89 
      510       19:S       19:S       0.46 
      511       19:S       19:S       0.98 
      512       19:S       19:S       0.61 
      513       19:S       19:S       0.73 
      514       19:S       19:S       0.39 
      515       19:S       19:S       0.57 
      516       19:S       19:S       0.85 
      517       19:S       19:S       0.94 
      518       19:S       19:S       0.57 
      519       19:S       19:S       0.34 
      520       19:S       19:S       0.62 
      521       19:S       19:S       1 
      522       19:S       19:S       0.81 
      523       19:S       19:S       0.68 
      524       19:S       19:S       0.43 
      525       19:S       19:S       0.92 
      526       19:S       19:S       0.88 
      527       19:S       19:S       0.85 
      528       19:S       19:S       0.81 
      529       19:S       19:S       0.69 
      530       19:S       19:S       0.86 
      531       19:S       19:S       0.83 
      532       19:S       19:S       0.95 
      533       19:S       19:S       1 
      534       19:S       19:S       0.9 
      535       19:S       19:S       0.78 
      536       19:S       19:S       0.96 
      537       19:S       19:S       0.69 
      538       19:S       19:S       0.74 
      539       19:S       19:S       0.81 
      540       19:S       19:S       0.62 
      541       19:S       19:S       0.94 
      542       19:S       19:S       0.94 
      543       19:S       19:S       0.41 
      544       19:S       19:S       0.89 
      545       19:S       19:S       0.95 
      546       19:S        4:D   +   0.37 
      547       19:S       19:S       0.31 
      548       19:S       19:S       0.26 
      549       19:S       19:S       0.95 
      550        5:E        5:E       0.73 
      551        5:E        5:E       1 
      552        5:E        5:E       1 
      553        5:E        5:E       0.83 
      554        5:E        5:E       0.97 
      555        5:E        5:E       0.84 
      556        5:E        5:E       0.55 
      557        5:E        5:E       1 
      558        5:E        5:E       0.7 
      559        5:E        5:E       0.46 
      560        5:E        5:E       1 
      561        5:E        5:E       0.97 
      562        5:E        5:E       0.81 
      563        5:E        5:E       0.69 
      564        5:E        5:E       1 
      565        5:E        5:E       0.99 
      566        5:E        5:E       0.64 
      567        5:E        5:E       0.78 
      568        5:E        5:E       0.92 
      569        5:E        5:E       0.72 
      570        5:E        5:E       0.76 
      571        5:E        5:E       0.93 
      572        5:E        5:E       0.67 
      573        5:E        5:E       0.71 
      574        5:E        5:E       0.99 
      575        5:E        5:E       0.87 
      576        5:E        5:E       0.66 
      577        5:E        5:E       1 
      578        5:E        5:E       1 
      579        5:E        5:E       1 
      580        5:E        5:E       0.71 
      581        5:E        5:E       0.72 
      582        5:E        5:E       1 
      583        5:E        5:E       0.6 
      584        5:E        5:E       0.57 
      585        5:E        5:E       0.97 
      586        5:E        5:E       0.74 
      587        5:E        5:E       1 
      588        5:E        5:E       1 
      589        5:E        5:E       0.97 
      590        5:E        5:E       1 
      591        5:E        5:E       1 
      592        5:E        5:E       0.78 
      593        5:E        5:E       1 
      594        5:E        5:E       0.94 
      595        5:E        7:G   +   0.25 
      596        5:E        5:E       0.77 
      597        5:E        5:E       0.57 
      598        5:E        5:E       0.47 
      599        5:E        5:E       0.9 
      600        5:E        5:E       0.88 
      601        5:E        5:E       0.84 
      602        5:E        5:E       0.68 
      603        5:E        5:E       1 
      604        5:E        5:E       0.78 
      605        5:E        5:E       0.8 
      606        5:E        5:E       0.53 
      607        5:E        5:E       0.58 
      608        5:E        5:E       0.93 
      609        5:E        5:E       0.62 
      610        5:E        5:E       1 
      611        5:E        5:E       1 
      612       26:Z       26:Z       0.98 
      613       26:Z       26:Z       0.83 
      614       26:Z       26:Z       0.9 
      615       26:Z       26:Z       0.67 
      616       26:Z       26:Z       0.53 
      617       26:Z       26:Z       0.92 
      618       26:Z       17:Q   +   0.63 
      619       26:Z       26:Z       1 
      620       26:Z       26:Z       1 
      621       26:Z       26:Z       0.54 
      622       26:Z       26:Z       1 
      623       26:Z       26:Z       0.84 
      624       26:Z       26:Z       0.96 
      625       26:Z       26:Z       0.96 
      626       26:Z       26:Z       0.71 
      627       26:Z       26:Z       0.99 
      628       26:Z       26:Z       0.79 
      629       26:Z       26:Z       1 
      630       26:Z       26:Z       0.28 
      631       26:Z       26:Z       0.99 
      632       26:Z       26:Z       0.79 
      633       26:Z       26:Z       0.83 
      634       26:Z       26:Z       0.99 
      635       26:Z       26:Z       1 
      636       26:Z       26:Z       0.65 
      637       26:Z       26:Z       0.92 
      638       26:Z       26:Z       0.56 
      639       26:Z       26:Z       0.99 
      640       26:Z       26:Z       0.89 
      641       26:Z       26:Z       0.79 
      642       26:Z       26:Z       1 
      643       26:Z       26:Z       0.99 
      644       26:Z       26:Z       0.24 
      645       26:Z       26:Z       1 
      646       26:Z       26:Z       1 
      647       26:Z       26:Z       0.88 
      648       26:Z       26:Z       1 
      649       26:Z       26:Z       1 
      650       26:Z       26:Z       0.99 
      651       26:Z       26:Z       0.76 
      652       26:Z       26:Z       0.55 
      653       26:Z       26:Z       1 
      654       26:Z       26:Z       0.62 
      655       26:Z       26:Z       0.63 
      656       26:Z       26:Z       0.26 
      657       26:Z       17:Q   +   0.51 
      658       26:Z       26:Z       0.96 
      659       26:Z       26:Z       1 
      660       26:Z       26:Z       0.57 
      661       26:Z       26:Z       0.38 
      662       26:Z       26:Z       1 
      663       26:Z       26:Z       0.95 
      664       26:Z       26:Z       1 
      665       26:Z       26:Z       0.74 
      666       26:Z       26:Z       0.99 
      667       26:Z       26:Z       0.44 
      668       26:Z       26:Z       0.99 
      669       26:Z       26:Z       0.34 
      670        7:G        7:G       0.91 
      671        7:G        7:G       0.93 
      672        7:G        7:G       0.53 
      673        7:G        7:G       0.99 
      674        7:G        7:G       0.7 
      675        7:G        7:G       0.89 
      676        7:G        7:G       1 
      677        7:G        7:G       1 
      678        7:G        7:G       0.99 
      679        7:G        7:G       0.89 
      680        7:G        7:G       0.96 
      681        7:G        7:G       0.95 
      682        7:G        7:G       0.99 
      683        7:G        7:G       0.79 
      684        7:G        7:G       0.32 
      685        7:G       11:K   +   0.24 
      686        7:G        7:G       0.97 
      687        7:G        7:G       0.72 
      688        7:G        7:G       0.94 
      689        7:G        7:G       0.74 
      690        7:G        7:G       0.96 
      691        7:G        7:G       0.64 
      692        7:G        6:F   +   0.29 
      693        7:G        7:G       0.66 
      694        7:G        7:G       0.83 
      695        7:G        7:G       0.95 
      696        7:G        7:G       0.98 
      697        7:G        7:G       0.35 
      698        7:G        7:G       0.81 
      699        7:G        7:G       0.97 
      700        7:G        7:G       0.93 
      701        7:G        7:G       0.84 
      702        7:G        7:G       0.41 
      703        7:G        7:G       0.77 
      704        7:G        7:G       0.6 
      705        7:G        7:G       0.78 
      706        7:G        7:G       1 
      707        7:G        7:G       0.98 
      708        7:G        7:G       0.99 
      709        7:G        7:G       1 
      710        7:G        7:G       1 
      711        7:G        7:G       0.94 
      712        7:G        7:G       0.97 
      713        7:G        7:G       0.72 
      714        7:G       11:K   +   0.35 
      715        7:G        7:G       0.67 
      716        7:G        7:G       0.41 
      717        7:G       17:Q   +   0.24 
      718        7:G        7:G       0.87 
      719        7:G        7:G       1 
      720        7:G        7:G       0.97 
      721        7:G        7:G       0.99 
      722        7:G        7:G       0.98 
      723        7:G        7:G       1 
      724        7:G       11:K   +   0.22 
      725        7:G        7:G       0.96 
      726        7:G        7:G       0.86 
      727        7:G        7:G       0.76 
      728        7:G        7:G       0.2 
      729       11:K       11:K       0.88 
      730       11:K       11:K       0.43 
      731       11:K       11:K       1 
      732       11:K       11:K       0.56 
      733       11:K       11:K       0.78 
      734       11:K       11:K       0.71 
      735       11:K       11:K       0.81 
      736       11:K       11:K       1 
      737       11:K       24:X   +   0.31 
      738       11:K       11:K       0.95 
      739       11:K       11:K       1 
      740       11:K       11:K       0.63 
      741       11:K       11:K       0.74 
      742       11:K       11:K       1 
      743       11:K       11:K       1 
      744       11:K       11:K       0.87 
      745       11:K       11:K       0.54 
      746       11:K       11:K       1 
      747       11:K       11:K       0.79 
      748       11:K       11:K       1 
      749       11:K       11:K       0.98 
      750       11:K       11:K       0.78 
      751       11:K       11:K       0.99 
      752       11:K       11:K       0.27 
      753       11:K       11:K       0.58 
      754       11:K       11:K       1 
      755       11:K       24:X   +   0.46 
      756       11:K       18:R   +   0.53 
      757       11:K       11:K       0.93 
      758       11:K       11:K       0.79 
      759       11:K       11:K       1 
      760       11:K       11:K       0.91 
      761       11:K       11:K       0.99 
      762       11:K       11:K       0.82 
      763       11:K       11:K       0.29 
      764       11:K       11:K       0.95 
      765       11:K       11:K       0.41 
      766       11:K       18:R   +   0.5 
      767       11:K       11:K       0.95 
      768       11:K       11:K       0.8 
      769       11:K       11:K       0.97 
      770       11:K       11:K       0.58 
      771       11:K       11:K       1 
      772       11:K       11:K       0.52 
      773       11:K       11:K       0.85 
      774       11:K       11:K       0.58 
      775       11:K       11:K       0.78 
      776       11:K       11:K       0.98 
      777       11:K       11:K       0.5 
      778       11:K       11:K       1 
      779       11:K       11:K       0.89 
      780       11:K        8:H   +   0.27 
      781       11:K       11:K       0.69 
      782       11:K       11:K       0.98 
      783       11:K       11:K       0.99 
      784       11:K       11:K       0.96 
      785       11:K       11:K       0.51 
      786       11:K       11:K       0.61 
      787       11:K       11:K       0.67 
      788       11:K       11:K       0.57 
      789        8:H        8:H       0.38 
      790        8:H        8:H       0.98 
      791        8:H        8:H       0.87 
      792        8:H        8:H       0.46 
      793        8:H       11:K   +   0.61 
      794        8:H        8:H       0.78 
      795        8:H        8:H       0.3 
      796        8:H        8:H       0.57 
      797        8:H        8:H       0.77 
      798        8:H        8:H       0.99 
      799        8:H        4:D   +   0.46 
      800        8:H       18:R   +   0.56 
      801        8:H        8:H       0.43 
      802        8:H        8:H       0.35 
      803        8:H        8:H       0.53 
      804        8:H        8:H       0.55 
      805        8:H        8:H       0.52 
      806        8:H        8:H       0.78 
      807        8:H        8:H       0.29 
      808        8:H        8:H       0.99 
      809        8:H        8:H       0.73 
      810        8:H        8:H       0.74 
      811        8:H        8:H       0.6 
      812        8:H        8:H       0.98 
      813        8:H        8:H       1 
      814        8:H        8:H       1 
      815        8:H        8:H       1 
      816        8:H        8:H       0.99 
      817        8:H        8:H       1 
      818        8:H        8:H       0.8 
      819        8:H        8:H       0.53 
      820        8:H        8:H       0.22 
      821        8:H        8:H       0.35 
      822        8:H        8:H       0.36 
      823        8:H        8:H       0.55 
      824        8:H       21:U   +   0.29 
      825        8:H        4:D   +   0.23 
      826        8:H        8:H       0.67 
      827        8:H        8:H       0.89 
      828        8:H        8:H       0.27 
      829        8:H        8:H       0.39 
      830        8:H        8:H       0.17 
      831        8:H        8:H       0.79 
      832        8:H        8:H       0.53 
      833        8:H        8:H       0.58 
      834        8:H        8:H       0.53 
      835        8:H        8:H       1 
      836        8:H        8:H       0.92 
      837        8:H        8:H       0.74 
      838        8:H        8:H       1 
      839        8:H        8:H       0.96 
      840        8:H        8:H       0.94 
      841        8:H        8:H       1 
      842        8:H        8:H       1 
      843        8:H        8:H       0.99 
      844        8:H        8:H       1 
